trader_id,handle,display_name,profile_url,evm_wallet,blockscout_url,chain,chain_id,followers,fills,buys,sells,volume_usd,realized_pnl_usd,unrealized_pnl_usd,net_pnl_usd,closed_trades,wins,win_rate,best_trade_usd,worst_trade_usd,open_bags,last_activity_unix,solana_wallet,solana_mapping_status
unipcs,unipcs,Unipcs,https://fomo.family/profile/unipcs,0x0a6ebed0155edb4b21d92ad02897a626cd90119e,https://robinhoodchain.blockscout.com/address/0x0a6ebed0155edb4b21d92ad02897a626cd90119e,robinhood,4663,514576,504,428,76,2085197.7716972267,-219890.445323487,490405.45574818004,270515.01042469306,31,19,0.6129032258064516,1662.4154517552968,-118077.86079799998,262,1788886166,,pending
PoorGoat_,PoorGoat_,PoorGoat🐂🀄️💛🐈,https://fomo.family/profile/PoorGoat_,0x9ce0cb4a193acbce0dca3283972341aed6f3f614,https://robinhoodchain.blockscout.com/address/0x9ce0cb4a193acbce0dca3283972341aed6f3f614,robinhood,4663,498702,33,33,0,9816.736772213893,0,4226.812104357716,4226.812104357716,0,0,,,,40,1788885294,,pending
DumbCrayonEater,DumbCrayonEater,DumbCrayonEater,https://fomo.family/profile/DumbCrayonEater,0x8f62a08537cede87d511aca6436274ab4ca080a3,https://robinhoodchain.blockscout.com/address/0x8f62a08537cede87d511aca6436274ab4ca080a3,robinhood,4663,483339,83,79,4,236475.8667946135,-1082.461318082376,47157.63449452701,46075.17317644464,1,0,0,-1100.286947000001,-1100.286947000001,76,1788885215,,pending
change,change,change,https://fomo.family/profile/change,0x92bff72e6c943a1348aedf15d68e758e811dec64,https://robinhoodchain.blockscout.com/address/0x92bff72e6c943a1348aedf15d68e758e811dec64,robinhood,4663,338419,807,478,329,8288892.491712252,50345.036638256766,-348656.6785795551,-298311.6419412984,43,10,0.23255813953488372,33066.957036751555,-10216.252706351246,73,1788886371,,pending
ether_monk,ether_monk,Ethermonk 📿,https://fomo.family/profile/ether_monk,0x2408ce75d217e3a70d6ca370c78c1b34d706f5a0,https://robinhoodchain.blockscout.com/address/0x2408ce75d217e3a70d6ca370c78c1b34d706f5a0,robinhood,4663,319349,314,280,34,2240104.5647914824,-46446.45685306063,427532758.3903203,427486311.93346727,32,15,0.46875,4847.820916999999,-16452.104795366802,63,1788885970,,pending
0xAvast,0xAvast,Avast,https://fomo.family/profile/0xAvast,0xcc0c581613dfd4ace7c8686668427236f8bd5cc5,https://robinhoodchain.blockscout.com/address/0xcc0c581613dfd4ace7c8686668427236f8bd5cc5,robinhood,4663,277140,121,91,30,793472.6854361391,-112092.33160952882,447070.46716813534,334978.13555860653,23,9,0.391304347826087,12535.195664000003,-49445.038725,32,1788885970,,pending
Aurelius0121,Aurelius0121,Aurelius,https://fomo.family/profile/Aurelius0121,0x0c175c6a0065ee05f871a68783d2de432a1e6cbe,https://robinhoodchain.blockscout.com/address/0x0c175c6a0065ee05f871a68783d2de432a1e6cbe,robinhood,4663,275064,387,333,54,1589799.3261242022,-221021.81203514017,486869.1548580057,265847.3428228655,21,7,0.3333333333333333,5498.968061,-130549.58615300001,49,1788857249,,pending
Quanterty,Quanterty,Qwerty,https://fomo.family/profile/Quanterty,0x0121525f755c9e7bbc525bba6672716ab46ced57,https://robinhoodchain.blockscout.com/address/0x0121525f755c9e7bbc525bba6672716ab46ced57,robinhood,4663,262657,165,134,31,2685558.38361125,15913.809373407204,-39846.76308366156,-23932.953710254355,8,5,0.625,15867.370825999998,-54565.29978800003,56,1788885222,,pending
frankdegods,frankdegods,frank,https://fomo.family/profile/frankdegods,0x696d1265c8fc4f14797abebfae3c43ebfa9d8e28,https://robinhoodchain.blockscout.com/address/0x696d1265c8fc4f14797abebfae3c43ebfa9d8e28,robinhood,4663,244322,767,595,172,4302268.613570535,219726.36848002105,-64240.60762944551,155485.76085057552,102,39,0.38235294117647056,88575.868692,-73255.0221994104,191,1788886148,,pending
Salem1299534,Salem1299534,Salem,https://fomo.family/profile/Salem1299534,0xb8f305f27ccc406373de0082cc06cb1d065504ea,https://robinhoodchain.blockscout.com/address/0xb8f305f27ccc406373de0082cc06cb1d065504ea,robinhood,4663,199353,74,62,12,1483105.2338784048,-322558.8799768842,84358.12943453446,-238200.7505423497,4,2,0.5,2736.2391350000007,-40603.43662847218,34,1788879893,,pending
Rowdy,Rowdy,Rowdy,https://fomo.family/profile/Rowdy,0x03ba951f72e59899ac8dab30cb5624dbe5d52bb8,https://robinhoodchain.blockscout.com/address/0x03ba951f72e59899ac8dab30cb5624dbe5d52bb8,robinhood,4663,174880,616,371,245,3486433.7660791446,-60114.21194962671,547194.0364476907,487079.824498064,119,41,0.3445378151260504,103122.34201326457,-30126.050539000003,63,1788887220,,pending
Binkieee,Binkieee,Binkieee,https://fomo.family/profile/Binkieee,0xd874259110c6e086f1d2fee474b73e69b8f5dab0,https://robinhoodchain.blockscout.com/address/0xd874259110c6e086f1d2fee474b73e69b8f5dab0,robinhood,4663,151246,313,207,106,1010367.9348353931,-199434.03550091834,-160787.36161080416,-360221.3971117225,46,12,0.2608695652173913,2698.6299010000002,-18828.192670179822,41,1788851239,,pending
tjrtradez,tjrtradez,tjrtradez,https://fomo.family/profile/tjrtradez,0x7b80bf27ccfda847aef81790a7547c5e14da36ef,https://robinhoodchain.blockscout.com/address/0x7b80bf27ccfda847aef81790a7547c5e14da36ef,robinhood,4663,145085,41,19,22,297616.2195180379,-39045.70925996208,-2349.6331027857354,-41395.34236274782,11,3,0.2727272727272727,17772.372892000007,-40943.080799,6,1788792920,,pending
remusofmars,remusofmars,remus 🐂🀄️,https://fomo.family/profile/remusofmars,0x8ab8c0843d9738885d6273dfe3de86c56eea364c,https://robinhoodchain.blockscout.com/address/0x8ab8c0843d9738885d6273dfe3de86c56eea364c,robinhood,4663,143043,298,186,112,429259.10287517833,44116.40483456531,137029.37569875468,181145.78053331998,94,51,0.5425531914893617,11643.953979256625,-3559.2522609999996,39,1788886199,,pending
orangie,orangie,orangie,https://fomo.family/profile/orangie,0x0eb6f8e5c8bc7d5c920d485b7b3d52e56cdef21f,https://robinhoodchain.blockscout.com/address/0x0eb6f8e5c8bc7d5c920d485b7b3d52e56cdef21f,robinhood,4663,130534,220,141,79,674478.4572051296,-37668.3756822894,14898.971815143857,-22769.403867145542,42,15,0.35714285714285715,34975.233589,-10690.207131651068,17,1788876994,,pending
theveeman,theveeman,Vee,https://fomo.family/profile/theveeman,0xa0670863bd5cd0d60022bab2eed78e81e1a06bce,https://robinhoodchain.blockscout.com/address/0xa0670863bd5cd0d60022bab2eed78e81e1a06bce,robinhood,4663,129105,94,54,40,199248.06958578588,-50185.03895917414,3252393.4671196947,3202208.4281605207,19,4,0.21052631578947367,810.859502999996,-10772.770958620038,30,1788874132,,pending
brezscales,brezscales,Brez,https://fomo.family/profile/brezscales,0xa70dd65d01cc4eb190822261a114f4110fa5d8ef,https://robinhoodchain.blockscout.com/address/0xa70dd65d01cc4eb190822261a114f4110fa5d8ef,robinhood,4663,128205,55,30,25,199474.72770423308,-28160.71802252938,-20081.069876074784,-48241.78789860416,13,4,0.3076923076923077,2689.0337820000004,-11370.677953,11,1788883985,,pending
AlertSilkyLoon,AlertSilkyLoon,AlertSilkyLoon,https://fomo.family/profile/AlertSilkyLoon,0xc6c341eee69f681ca8efa59aa167fecb2a2f0db5,https://robinhoodchain.blockscout.com/address/0xc6c341eee69f681ca8efa59aa167fecb2a2f0db5,robinhood,4663,121374,0,0,0,0,0,0,0,0,0,,,,0,,,pending
songz,songz,songz,https://fomo.family/profile/songz,0xd3a61ba3bd055f6aa962cc7554e117b4baf8d0a5,https://robinhoodchain.blockscout.com/address/0xd3a61ba3bd055f6aa962cc7554e117b4baf8d0a5,robinhood,4663,120552,108,73,35,384372.6127379248,-140982.36116450236,14472.920459695812,-126509.44070480655,17,4,0.23529411764705882,1100.0679069999996,-16889.295806726168,6,1788703891,,pending
loganlim_x,loganlim_x,Logan Lim,https://fomo.family/profile/loganlim_x,0x8224c04a8f66557df682fd0581eb3724bd2bee07,https://robinhoodchain.blockscout.com/address/0x8224c04a8f66557df682fd0581eb3724bd2bee07,robinhood,4663,119317,414,261,153,2601105.3279077234,-100164.73936899987,-1129.4844685810385,-101294.22383758091,28,13,0.4642857142857143,112049.17091999999,-164333.96188213705,11,1788887922,,pending
jotagezin,jotagezin,jg,https://fomo.family/profile/jotagezin,0xc1d4b5e64473fd90bf0390a1e0b61876064fd503,https://robinhoodchain.blockscout.com/address/0xc1d4b5e64473fd90bf0390a1e0b61876064fd503,robinhood,4663,118738,8,7,1,18632.458889711383,-3685.6147212886162,-10125.820502506785,-13811.4352237954,1,0,0,-3685.6147212886162,-3685.6147212886162,6,1788825250,,pending
Pasterniq,Pasterniq,Pasterniq,https://fomo.family/profile/Pasterniq,0x6c1234dc73ee99934e8553ac82c4b0755f09a80a,https://robinhoodchain.blockscout.com/address/0x6c1234dc73ee99934e8553ac82c4b0755f09a80a,robinhood,4663,117189,334,248,86,1583514.7157326709,-185647.9807612525,-3525.071691387957,-189173.05245264043,42,4,0.09523809523809523,4647.161270999999,-23286.020097000015,11,1788886441,,pending
The__Solstice,The__Solstice,TheS◎Lstice,https://fomo.family/profile/The__Solstice,0xd1c77a04b87393e98a1220532e72e8f7d0a31c5a,https://robinhoodchain.blockscout.com/address/0xd1c77a04b87393e98a1220532e72e8f7d0a31c5a,robinhood,4663,110961,80,44,36,206928.41230984838,635.814357054657,1364.7422427591955,2000.5565998138525,26,26,1,438.85787912580037,1.5750597286901453,25,1788887047,,pending
397397,397397,Lasercat397,https://fomo.family/profile/397397,0xcbaea88c17888e3c7b84117bd6ebbdbf4f95b810,https://robinhoodchain.blockscout.com/address/0xcbaea88c17888e3c7b84117bd6ebbdbf4f95b810,robinhood,4663,109719,105,73,32,683354.1900726756,144052.66058851755,12931705.39522719,13075758.055815708,20,9,0.45,9134.042564,-64365.76732800001,39,1788874068,,pending
AvgJoesCrypto,AvgJoesCrypto,AJC,https://fomo.family/profile/AvgJoesCrypto,0x06de9c48b1e639ed5c13ec8fbd4080a38e39f2d1,https://robinhoodchain.blockscout.com/address/0x06de9c48b1e639ed5c13ec8fbd4080a38e39f2d1,robinhood,4663,105301,966,101,865,1101339.060877561,-7793.82195990873,287261.73428522155,279467.91232531285,65,49,0.7538461538461538,1416.8645500000002,-1240.9757519999998,86,1788885468,,pending
